ticker,year,month,day,filename,BrexitExposure,BrexitRisk,BrexitSentiment,NonBrexitRisk,NonBrexitSentiment
AZN.L,2020,07,30,/Users/min/brexit-uncertainty/src/processed/2020/AZN.L-2020-07-30-139316097786.txt,0.0,0.0,-0.0,14.0,46.0
DPWGn.DE,2020,08,05,/Users/min/brexit-uncertainty/src/processed/2020/DPWGn.DE-2020-08-05-137573036291.txt,0.0,0.0,-0.0,0.0,81.0
LLY.N,2020,07,30,/Users/min/brexit-uncertainty/src/processed/2020/LLY.N-2020-07-30-139391287935.txt,0.0,0.0,-0.0,17.0,23.0
ULVR.L,2020,01,30,/Users/min/brexit-uncertainty/src/processed/2020/ULVR.L-2020-01-30-139379330974.txt,7.969397513547975e-05,0.0,-0.0,3.0,87.0
DPWGn.DE,2020,11,10,/Users/min/brexit-uncertainty/src/processed/2020/DPWGn.DE-2020-11-10-140649475870.txt,0.0,0.0,-0.0,5.0,82.0
DPWGn.DE,2020,05,12,/Users/min/brexit-uncertainty/src/processed/2020/DPWGn.DE-2020-05-12-140530279479.txt,0.0,0.0,-0.0,9.0,12.0
F.N,2020,04,28,/Users/min/brexit-uncertainty/src/processed/2020/F.N-2020-04-28-139082869298.txt,0.0,0.0,-0.0,2.0,13.0
KOG.OL,2020,05,08,/Users/min/brexit-uncertainty/src/processed/2020/KOG.OL-2020-05-08-140760993097.txt,0.0,0.0,-0.0,9.0,24.0
KHC.OQ,2020,04,30,/Users/min/brexit-uncertainty/src/processed/2020/KHC.OQ-2020-04-30-140050859308.txt,0.0,0.0,-0.0,16.0,49.0
LLY.N,2020,01,30,/Users/min/brexit-uncertainty/src/processed/2020/LLY.N-2020-01-30-138940828135.txt,0.0,0.0,-0.0,8.0,83.0
LLY.N,2020,10,27,/Users/min/brexit-uncertainty/src/processed/2020/LLY.N-2020-10-27-138378123361.txt,0.0,0.0,-0.0,9.0,44.0
BP.L,2020,08,04,/Users/min/brexit-uncertainty/src/processed/2020/BP.L-2020-08-04-137804228576.txt,0.0,0.0,-0.0,24.0,107.0
